Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000064490	RFXANK	 ANKRA1, BLS, F14150_1, MGC138628, RFX-B,	"Regulatory factor X associated ankyrin containing protein"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	8625	RFXANK	TopGeneInFirstStep
ENSG00000064601	CTSA	 GSL, PPGB,	"Cathepsin A"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5476	CTSA	TopGeneInFirstStep
ENSG00000064666	CNN2	 ,	"Calponin 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1265	CNN2	TopGeneInFirstStep
ENSG00000064886	CHI3L2	 YKL-39, YKL39,	"Chitinase 3 like 2"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	1117	CHI3L2	TopGeneInFirstStep
ENSG00000065029	ZNF76	 D6S229E, Zfp523, ZNF523,	"Zinc finger protein 76"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7629	ZNF76	TF
ENSG00000065154	OAT	 HOGA,	"Ornithine aminotransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4942	OAT	TopGeneInFirstStep
ENSG00000065357	DGKA	 DAGK, DAGK1, DGK-alpha,	"Diacylglycerol kinase alpha"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1606	DGKA	TopGeneInFirstStep
ENSG00000065675	PRKCQ	 ,	"Protein kinase C theta"	"Cancer-related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5588	PRKCQ	FunctionGene
ENSG00000065809	FAM107B	 C10orf45, FLJ45505, HITS, MGC11034,	"Family with sequence similarity 107 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83641	FAM107B	TopGeneInFirstStep
ENSG00000066422	ZBTB11	 ZNF-U69274, ZNF913,	"Zinc finger and BTB domain containing 11"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	27107	ZBTB11	TF
ENSG00000066583	ISOC1	 CGI-111,	"Isochorismatase domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51015	ISOC1	TopGeneInFirstStep
ENSG00000066697	MSANTD3	 C9orf30, MGC17337,	"Myb/SANT DNA binding domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	91283	MSANTD3	TF
ENSG00000067057	PFKP	 PFK-C, PFKF,	"Phosphofructokinase, platelet"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5214	PFKP	TcellActVsNaive
ENSG00000067066	SP100	 ,	"SP100 nuclear antigen"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6672	SP100	TopGeneInFirstStep,TF
ENSG00000067082	KLF6	 BCD1, COPEB, CPBP, GBF, PAC1, ST12, Zf9,	"Kruppel like factor 6"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1316	KLF6	TopGeneInFirstStep,TF
ENSG00000067182	TNFRSF1A	 CD120a, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR60,	"TNF receptor superfamily member 1A"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7132	TNFRSF1A	TopGeneInFirstStep,FunctionGene
ENSG00000067646	ZFY	 ZNF911,	"Zinc finger protein Y-linked"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7544	ZFY	TF
ENSG00000068079	IFI35	 IFP35,	"Interferon induced protein 35"	"Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3430	IFI35	TopGeneInFirstStep
ENSG00000068366	ACSL4	 ACS4, FACL4, LACS4, MRX63, MRX68,	"Acyl-CoA synthetase long chain family member 4"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2182	ACSL4	TcellActVsNaive
ENSG00000068438	FTSJ1	 CDLIV, JM23, MRX44, MRX9, SPB1, TRM7, TRMT7,	"FtsJ RNA 2'-O-methyltransferase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	24140	FTSJ1	TopGeneInFirstStep
ENSG00000068796	KIF2A	 HK2, KIF2,	"Kinesin family member 2A"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3796	KIF2A	TopGeneInFirstStep
ENSG00000068831	RASGRP2	 CALDAG-GEFI,	"RAS guanyl releasing protein 2"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	10235	RASGRP2	TopGeneInFirstStep
ENSG00000069493	CLEC2D	 CLAX, LLT1, OCIL,	"C-type lectin domain family 2 member D"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	29121	CLEC2D	TopGeneInFirstStep,CancerDExpr
ENSG00000069667	RORA	 NR1F1, ROR1, ROR2, ROR3, RZRA,	"RAR related orphan receptor A"	"Disease related genes, Human disease related genes, Metabolic proteins, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6095	RORA	CancerDExpr,TF,FunctionGene
ENSG00000069702	TGFBR3	 betaglycan, BGCAN,	"Transforming growth factor beta receptor 3"	"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7049	TGFBR3	FunctionGene
ENSG00000069849	ATP1B3	 CD298, FLJ29027,	"ATPase Na+/K+ transporting subunit beta 3"	"CD markers, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	483	ATP1B3	TopGeneInFirstStep,TcellActVsNaive
ENSG00000069966	GNB5	 GB5,	"G protein subunit beta 5"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at transcript level"	10681	GNB5	TopGeneInFirstStep
ENSG00000069998	HDHD5	 CECR5,	"Haloacid dehalogenase like hydrolase domain containing 5"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27440	HDHD5	TopGeneInFirstStep
ENSG00000070081	NUCB2	 NEFA,	"Nucleobindin 2"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	4925	NUCB2	TopGeneInFirstStep
ENSG00000070495	JMJD6	 KIAA0585, PTDSR, PTDSR1,	"Jumonji domain containing 6, arginine demethylase and lysine hydroxylase"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23210	JMJD6	TopGeneInFirstStep
ENSG00000071073	MGAT4A	 GnT-4a, GnT-Iva,	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	11320	MGAT4A	TopGeneInFirstStep
ENSG00000071127	WDR1	 ,	"WD repeat domain 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9948	WDR1	TopGeneInFirstStep
ENSG00000072042	RDH11	 ARSDR1, MDT1, SDR7C1,	"Retinol dehydrogenase 11"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51109	RDH11	TopGeneInFirstStep
ENSG00000072110	ACTN1	 ,	"Actinin alpha 1"	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	87	ACTN1	TopGeneInFirstStep
ENSG00000072736	NFATC3	 NFAT4, NFATX,	"Nuclear factor of activated T cells 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4775	NFATC3	TF,FunctionGene
ENSG00000072778	ACADVL	 ACAD6, LCACD, VLCAD,	"Acyl-CoA dehydrogenase very long chain"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	37	ACADVL	TopGeneInFirstStep
ENSG00000072818	ACAP1	 CENTB1, KIAA0050,	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9744	ACAP1	TopGeneInFirstStep,CancerDExpr
ENSG00000072958	AP1M1	 AP47, CLAPM2,	"Adaptor related protein complex 1 subunit mu 1"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	8907	AP1M1	TopGeneInFirstStep
ENSG00000073578	SDHA	 FP, SDH2, SDHF,	"Succinate dehydrogenase complex flavoprotein subunit A"	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	6389	SDHA	TopGeneInFirstStep
ENSG00000073614	KDM5A	 JARID1A, RBBP2,	"Lysine demethylase 5A"	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5927	KDM5A	TopGeneInFirstStep
ENSG00000073803	MAP3K13	 LZK, MEKK13,	"Mitogen-activated protein kinase kinase kinase 13"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9175	MAP3K13	TopGeneInFirstStep
ENSG00000073849	ST6GAL1	 SIAT1,	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	6480	ST6GAL1	TopGeneInFirstStep
ENSG00000074266	EED	 HEED, WAIT-1,	"Embryonic ectoderm development"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8726	EED	TopGeneInFirstStep,FunctionGene
ENSG00000074696	HACD3	 B-ind1, HSPC121, PTPLAD1,	"3-hydroxyacyl-CoA dehydratase 3"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	51495	HACD3	TopGeneInFirstStep
ENSG00000074706	IPCEF1	 KIAA0403, PIP3-E,	"Interaction protein for cytohesin exchange factors 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26034	IPCEF1	TopGeneInFirstStep
ENSG00000074966	TXK	 BTKL, PSCTK5, PTK4, RLK, TKL,	"TXK tyrosine kinase"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7294	TXK	TopGeneInFirstStep,CancerDExpr,FunctionGene
ENSG00000075142	SRI	 ,	Sorcin	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6717	SRI	TopGeneInFirstStep
ENSG00000075188	NUP37	 FLJ22618, MGC5585,	"Nucleoporin 37"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	79023	NUP37	TopGeneInFirstStep
ENSG00000075239	ACAT1	 ACAT, THIL,	"Acetyl-CoA acetyltransferase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	38	ACAT1	TopGeneInFirstStep
ENSG00000075292	ZNF638	 MGC26130, NP220, ZFML, Zfp638,	"Zinc finger protein 638"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27332	ZNF638	TopGeneInFirstStep
ENSG00000075407	ZNF37A	 KOX21, ZNF37,	"Zinc finger protein 37A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7587	ZNF37A	TF
ENSG00000075624	ACTB	 ,	"Actin beta"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	60	ACTB	TopGeneInFirstStep
ENSG00000075884	ARHGAP15	 BM046,	"Rho GTPase activating protein 15"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55843	ARHGAP15	TopGeneInFirstStep
ENSG00000076108	BAZ2A	 KIAA0314, TIP5, WALp3,	"Bromodomain adjacent to zinc finger domain 2A"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11176	BAZ2A	TF
ENSG00000076604	TRAF4	 CART1, MLN62, RNF83,	"TNF receptor associated factor 4"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9618	TRAF4	TcellActVsNaive
ENSG00000076662	ICAM3	 CD50, CDW50, ICAM-R,	"Intercellular adhesion molecule 3"	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3385	ICAM3	TopGeneInFirstStep
ENSG00000076928	ARHGEF1	 LBCL2, P115-RHOGEF, SUB1.5,	"Rho guanine nucleotide exchange factor 1"	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9138	ARHGEF1	TopGeneInFirstStep
ENSG00000076944	STXBP2	 Hunc18b, UNC18B,	"Syntaxin binding protein 2"	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6813	STXBP2	TopGeneInFirstStep
ENSG00000077238	IL4R	 CD124,	"Interleukin 4 receptor"	"Cancer-related genes, CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3566	IL4R	FunctionGene
ENSG00000077254	USP33	 KIAA1097, VDU1,	"Ubiquitin specific peptidase 33"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23032	USP33	TopGeneInFirstStep
ENSG00000077420	APBB1IP	 INAG1, RIAM,	"Amyloid beta precursor protein binding family B member 1 interacting protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54518	APBB1IP	TopGeneInFirstStep
ENSG00000077684	JADE1	 JADE-1, PHF17,	"Jade family PHD finger 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79960	JADE1	TopGeneInFirstStep
ENSG00000077984	CST7	 ,	"Cystatin F"	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	8530	CST7	TopGeneInFirstStep
ENSG00000078081	LAMP3	 CD208, DC-LAMP, DCLAMP, LAMP, TSC403,	"Lysosomal associated membrane protein 3"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	27074	LAMP3	TcellActVsNaive
ENSG00000078589	P2RY10	 P2Y10,	"P2Y receptor family member 10"	"G-protein coupled receptors, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	27334	P2RY10	TopGeneInFirstStep
ENSG00000078596	ITM2A	 BRICD2A, E25A,	"Integral membrane protein 2A"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	9452	ITM2A	TopGeneInFirstStep,CancerDExpr
ENSG00000079263	SP140	 LYSP100-A, LYSP100-B,	"SP140 nuclear body protein"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	11262	SP140	TF
ENSG00000079462	PAFAH1B3	 ,	"Platelet activating factor acetylhydrolase 1b catalytic subunit 3"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	5050	PAFAH1B3	TopGeneInFirstStep
ENSG00000079616	KIF22	 Kid, KNSL4, OBP-1, OBP-2,	"Kinesin family member 22"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3835	KIF22	TopGeneInFirstStep
